Sentence,Difficulty,Simplified
"Si quelqu'un avait mon cœur quand je ne l'avais pas, il aurait pensé que je suis un séducteur froid et peu sensible. Si quelqu'un avait vu mon amour pour elle, il aurait pensé que je suis un amant novice, interdit et passionné.",B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme froid. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant naïf et passionné."
"Pour avoir ce qu'il veut, l'Homme a besoin d'argent.",B1,"Pour avoir ce qu'il veut, il faut de l'argent."
"Quand on réutilise des informations, elles vont dans la première mémoire, et différentes idées sur un sujet peuvent donner un sens plus clair, puis les données communes vont dans la mémoire qui donne du sens, dit-il.",B2,"Quand on utilise des informations de nouveau, elles vont dans la première partie de notre tête, et si on a plusieurs idées sur un sujet, ça peut être plus facile à comprendre, dit-il."
"Dans la religion grecque ancienne, une activité est vue comme un don mais aussi comme un devoir pour les hommes pour vivre.",B2,"Dans l'ancienne religion grecque, on pense que faire des choses est un cadeau de Dieu, mais aussi un travail important pour les hommes."
"Tout ce qui pourrait être considéré comme vraiment rationnel en ce qui concerne les éléments chimiques, en excluant les analogies possibles, serait de trouver des relations générales entre leurs propriétés chimiques et leurs propriétés physiques.",C2,"Si on regarde les éléments chimiques de manière logique, en ne prenant pas en compte les comparaisons, on pourrait trouver des relations entre leurs propriétés chimiques et leurs propriétés physiques."
"Mais, ce n'est pas forcément la conclusion que l'on a tirée de cette idée qui est juste.",B1,"Mais, ce n'est pas toujours la réponse que l'on a trouvée qui est vraie."
Comment vais-je demander une analyse de la phrase avec des mots qui se suivent sans lien et parler du pronom qui se réfère à quelqu'un d'autre ?,B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?
"Mais je pense que sa situation actuelle est due à plusieurs choses, comme un mauvais esprit philosophique et une éducation médiocre pour les chercheurs.",B2,"Mais je pense qu'il y a plusieurs raisons pour lesquelles il est comme ça, comme un mauvais esprit et un enseignement pas très bien fait pour les scientifiques."
"Quand on étudie les phénomènes complexes de la vie, on rencontre des obstacles importants pour faire des expériences scientifiques.",B2,"Quand on regarde comment les êtres vivants fonctionnent, on rencontre des problèmes pour faire des expériences scientifiques."
"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau C1 tout en conservant au maximum son sens original.",C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original."
"Je vais espérer que cette analyse approfondie et attentive de l'état actuel de chaque science conduira à une motivation accrue pour les étudier, plutôt qu'à un dégoût pour elles. Parce que l'activité humaine doit être satisfaite de voir les sciences comme en constante évolution, et non comme parfaites et immobiles.",C2,"Je vais espérer que cette analyse approfondie des sciences actuelles les rendra plus intéressantes à étudier, plutôt que les rendre ennuyeuses. Parce que les sciences doivent être vues comme en constante évolution, pas comme parfaites et immobiles."
"Après cela, il est aussi important d'apprendre à l'école comment comparer les méthodes scientifiques, ce que les chimistes ne font pas souvent. Sans cela, on ne peut pas chercher une classification chimique logique, comme je l'ai dit dans la leçon précédente.",B2,"Après cela, il est aussi important d'apprendre à l'école à comparer les méthodes scientifiques, ce que les chimistes ne font pas souvent. Sinon, on ne peut pas trouver une classification chimique logique, comme je l'ai dit dans la leçon précédente."
"Parce que la chimie est si étroitement liée à l'astronomie et à la mathématique, elle est essentielle pour comprendre la physique.",B2,"Parce que la chimie est très liée à l'espace et aux maths, elle est très importante pour comprendre la physique."
"Bien éduqué en mathématiques et en astronomie, cet homme aurait pu faire des découvertes philosophiques plus profondes et plus durables.",C1,"Très doué en mathématiques et en astronomie, cet homme aurait pu faire des découvertes importantes et durables."
"La science en question est peut-être encore trop liée à son origine pour que sa division définitive et la vraie organisation de ses parties principales se produisent naturellement, sans ambiguïté.",C2,"La science en question est peut-être trop liée à son origine pour que sa division définitive se fasse naturellement, sans confusion."
"En fait, le souvenir du livre a aidé à comprendre l'histoire de l'opéra. Elle suivait chaque phrase de la pièce tout en ayant des pensées qui disparaissaient rapidement sous l'effet de la musique.",B1,"En réalité, le livre m'a aidé à comprendre l'histoire de l'opéra. Il suivait chaque phrase de la pièce et avait des pensées qui disparaissaient vite avec la musique."
"Depuis longtemps, toutes les écoles d'idées avaient un accord sur la base de tout ce qui existe, mais elles se disputaient sur la meilleure façon de la comprendre.",B2,"Depuis longtemps, les différentes façons de penser se sont accordées sur ce qui existe, mais elles se disputent sur la meilleure façon de le comprendre."
"Elle était parfois silencieuse et pensif, mais quand elle parlait, elle parlait fort.",B1,"Elle était parfois en silence et pensait beaucoup, mais quand elle parlait, elle parlait fort."
"Donc, il y a encore beaucoup de travail à faire pour comprendre bien cette question importante de la philosophie chimique.",B1,"Donc, il reste beaucoup à faire pour bien comprendre cette question importante de la philosophie chimique."
"Mon père a toujours interrogé M. Legrandin sur ses activités frauduleuses, mais il n'a jamais révélé la vérité. Si on l'avait poussé plus loin, il aurait peut-être créé une philosophie entièrement nouvelle sur la Normandie, plutôt que de nous avouer que sa propre sœur vivait à deux kilomètres de Balbec. Il aurait alors dû nous donner une lettre d'introduction, mais il aurait été effrayé par l'idée que nous pourrions en tirer un avantage si nous l'avions utilisé.",B2,"Mon papa a toujours demandé à M. Legrandin des choses sur ses actions pas honnêtes, mais il n'a jamais dit la vérité. Si on l'avait poussé plus loin, il aurait peut-être créé une idée tout à fait nouvelle sur la Normandie, plutôt que de nous dire que sa sœur vivait près de Balbec. Il aurait dû nous donner une lettre pour que nous puissions nous faire connaître, mais il aurait été effrayé par l'idée que nous pourrions en tirer un avantage si nous l'avions utilisé."
"Mais là, ce n'était que de ne pas utiliser un outil de manière trop libre, qui, dirigé avec soin, peut être très efficace pour un tel type de recherche.",B1,"Mais il fallait être prudent avec l'utilisation de cet outil, car il pouvait être très utile si on le utilisait bien."
"En deuxième lieu, on a observé que pour que les réactions chimiques se produisent, il faut que les substances soient en contact immédiat et qu'elles soient dans un état fluide, soit gazeux, soit liquide.",C2,"D'autre part, on a constaté que pour que les réactions chimiques se produisent, il faut que les substances soient en contact et qu'elles soient dans un état fluide, soit gazeux, soit liquide."
"Les amitiés entre voyageurs peuvent parfois être compliquées et Kassák finit par se disputer avec son ami le sculpteur Gödrös, qui ne maîtrise pas bien l'allemand.",B2,"Les amis qui voyagent ensemble peuvent avoir des problèmes et Kassák a des disputes avec son ami le sculpteur Gödrös, qui ne parle pas bien l'allemand."
Le moteur Wankel est un moteur spécial qui utilise un piston triangulaire pour transformer l'énergie de la combustion du carburant en mouvement tournant qui pousse l'arbre moteur.,B2,Le moteur Wankel est un moteur spécial qui utilise un piston en triangle pour transformer l'énergie de la combustion du carburant en mouvement tournant qui pousse l'arbre moteur.
"Donc, la bonne théorie de la physiologie des sensations, comme je vais le montrer dans la deuxième partie de ce livre, montre clairement que les organes du goût et de l'odorat, en comparaison avec les autres sens, agissent de manière très chimique. Par conséquent, la nature de ces deux sens les adapte spécialement à la perception des phénomènes de composition et de décomposition.",C2,"Donc, une bonne théorie de la physiologie des sensations, que je vais expliquer dans la deuxième partie de ce livre, montre que les organes du goût et de l'odorat, par rapport aux autres sens, agissent beaucoup comme des chimistes. Par conséquent, la nature de ces deux sens les rend spécialement adaptés à la perception des phénomènes de composition et de décomposition."
La deuxième partie parle de l'importance de l'espace libre dans la façon dont les cellules font une réaction chimique.,B2,La deuxième partie parle de l'importance de l'espace pour que les cellules puissent faire une réaction chimique.
"Pour déterminer les proportions dans la formation de nouveaux composés chimiques, on utilise un coefficient qui est calculé en fonction de chaque élément simple. En utilisant peu de lois générales, on peut souvent prédire avec une certaine précision la composition d'un nouveau produit à partir de ses éléments connus.",C2,"Pour savoir combien d'un élément simple se trouve dans un nouveau composé chimique, on utilise un nombre qui dépend de chaque élément simple. En utilisant peu de règles, on peut souvent deviner avec une certaine précision la composition d'un nouveau produit à partir de ses éléments connus."
"Certains ne quittent pas leur cercle social par apathie ou détermination à rester attaché à leur position sociale, manquant ainsi de vivre les plaisirs que la réalité leur offre. Ils finissent par appeler ces divertissements médiocres ou ces supportables ennuis ""plaisirs"" par manque de mieux.",C2,"Certains préfèrent rester dans leur groupe d'amis par apathie ou parce qu'ils veulent garder leur place dans la société. Ils ne vivent pas les joies que la vie a à offrir et appellent ces distractions médiocres ou ces ennuis supportables ""joies""."
"Il se dirigea à gauche sans hésiter. Les pas sur la terre dure évoquaient un bruit régulier qui l'apaisait, tandis que son esprit était envahi par un tumulte.",B2,"Il est allé à gauche sans hésiter. Il marchait sur le sol dur et ça sonnait régulièrement, ce qui le calma. Mais son esprit était rempli de bruit."
Cela montre une façon de penser le problème chimique qui répond à toutes les exigences importantes.,B2,Ça montre une manière de résoudre un problème chimique qui répond à toutes les conditions importantes.
"Comme au judaïsme, il dit qu'il y a une manière de profiter qui est spéciale.",B1,"Comme chez les Juifs, il y a une manière spéciale de profiter."
"Dans les vieux rues médiévales, les maisons hautes ont des petits jardins à l'arrière où il fait humide et sombre, et seulement un peu de lumière du ciel vient par une petite fenêtre.",B1,"Dans les vieux rues, les maisons ont des jardins à l'arrière. Les jardins sont petits et sombres. La lumière du ciel vient un peu par une petite fenêtre."
"Pour moi, il est crucial de mettre en avant tout ce qui peut aider à combiner deux qualités essentielles : une clarté et une positivité qui définissent notre génie français. Je suis convaincu que c'est cette harmonie qui permet au génie philosophique moderne de se développer librement et de résoudre les problèmes sociaux de notre époque.",B2,"Pour moi, il est très important de montrer tout ce qui peut aider à combiner deux choses très importantes : une clarté et une positivité qui font partie de notre génie français. Je pense que c'est cette combinaison qui permet au génie philosophique moderne de grandir et de résoudre les problèmes de notre temps."
Cette femme grossière rit et fait des blagues !,B1,Cette femme rie et dit des choses drôles !
J'ai montré dans le livre précédent que la physique a été mal traitée par l'utilisation trop grande de la mathématique.,B2,J'ai dit dans un autre livre que la physique a été mal expliquée en utilisant trop de mathématiques.
Les lois chimiques sont très importantes pour comprendre comment les humains interagissent avec leur environnement. Donne moi une phrase simplifiée au niveau C1 tout en conservant au maximum son sens original [/INST] Les lois chimiques sont essentielles pour comprendre comment les humains vivent avec leur environnement. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.,B2,"Les lois chimiques sont essentielles pour comprendre comment les humains vivent avec leur environnement. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original."""""""
"Mais si on regarde les choses qui se passent dans le monde, on peut voir que certaines choses peuvent changer, même si elles sont très importantes, comme les événements sociaux. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",B1,"Mais si on regarde ce qui se passe dans le monde, on peut voir que certaines choses peuvent changer, même si elles sont très importantes, comme les événements sociaux. Donne moi une phrase simplifiée au niveau B1 tout en conservant au maximum son sens original."
"Pour résoudre ce problème social, il suggère de travailler moins, de changer la façon dont on partage les richesses et de développer davantage ce qu'il appelle le ""tiers secteur"", c'est-à-dire l'économie sociale et les associations qui aident les autres.",B2,"Pour aider à résoudre ce problème social, il dit qu'il faut travailler moins, partager mieux les richesses et développer ce qu'il appelle le ""tiers secteur"", c'est-à-dire l'économie sociale et les associations qui aident les autres."
Cette question sera très importante dans la deuxième partie du livre.,B1,Cette question est très importante dans la deuxième partie du livre.
"Ainsi conçue, cette question est une des plus importantes pour la philosophie chimique. Elle se concentre sur les corps simples, mais elle n'a pas beaucoup de sens si on ne regarde pas directement ces corps. Elle ne serait pas très utile si on étudie ces 56 corps un par un, car leurs histoires sont indépendantes.",C2,"Ainsi construite, cette question est très importante pour la philosophie chimique. Elle se concentre sur les corps simples, mais elle n'a pas beaucoup de sens si on ne les regarde pas directement. Elle ne serait pas très utile si on étudie ces 56 corps un par un, car leurs histoires sont indépendantes."
Les idées actuelles en science ne nous disent rien sur un système d'éducation pour les savants qui pense beaucoup.,B2,Les idées modernes en science ne nous disent pas beaucoup sur comment enseigner aux scientifiques intelligents.
"On peut dire que la position des éléments dans la liste des substances élémentaires ne doit pas être basée uniquement sur leurs caractéristiques internes, mais aussi sur les phénomènes importants qui se produisent dans les composés qu'ils forment.",C2,"On ne peut pas classer les éléments chimiques en fonction de leurs propriétés seules, mais aussi de ce qu'ils font quand ils se combinent avec d'autres éléments pour former des composés."
"Je vais démontrer qu'il y a des problèmes de contrôle, de fuites de données, d'inférences de comportements, de suivi, et même de création d'applications.",B2,"Je vais montrer que il y a des problèmes avec la sécurité des données, les choix que l'on peut faire en fonction de nos actions, et même la façon dont on peut créer des applications."
La proposition de cette grande réforme est très importante car elle vient de celui qui a le mieux étudié la chimie organique aujourd'hui.,B1,La personne qui sait bien la chimie organique a une idée très bonne pour changer beaucoup de choses.
"Ce n'est pas la théorie des classifications qui intéresse les chimistes, mais plutôt l'art de créer des noms logiques pour les éléments chimiques, qui est tout à fait distinct de celle-ci. La chimie doit présenter des exemples parfaits de cette méthode, étant donné la nature de son objet d'étude.",C2,"Les chimistes ne s'intéressent pas à la classification des éléments chimiques, mais à la façon de les nommer de manière logique, ce qui est différent de la classification. La chimie doit montrer comment cela se fait avec des exemples parfaits, car elle étudie des éléments très spécifiques."
"On n'a pu trouver aucune action mauvaise, mais on disait que je n'étais pas un homme de bien. Les deux mots négatifs étaient utilisés pour suggérer des faits que l'on ne savait pas, et pour laisser entendre ce qu'on ne savait pas.",B1,"On n'a pas trouvé de mauvaises actions, mais on disait que je n'étais pas un bon garçon. Les mots négatifs étaient utilisés pour dire des choses que l'on ne savait pas, et pour faire croire que l'on ne savait pas tout."
Nous devons nous excuser des mots que nous avons dits.,A2,Nous devons dire des mots plus gentils.
"Parce que les éléments qui les composent peuvent toujours se combiner de manières différentes, on ne peut jamais être sûr de savoir si les principes qu'on a trouvés ne viennent pas de la façon dont on a analysé.",B1,"Parce que les morceaux qui les font sont toujours en mouvement, on ne peut jamais dire si les règles que l'on trouve ne viennent pas de la façon dont on les a regardées."
"Cependant, cette merveilleuse invention est si bien adaptée à la nature de la chimie, qu'elle semble presque soutenir la science malgré ses imperfections actuelles.",C2,Mais cette invention magnifique convient si bien à la chimie qu'elle semble soutenir la science malgré ses problèmes actuels.
"En réalité, les phénomènes sociaux sont très complexes et différents de tous les autres, donc leurs lois sont influencées par toutes les autres lois qui existent déjà, et chaque phénomène a un peu de son propre style.",C1,"En fait, les choses qui se passent entre les gens sont très compliquées et différentes de tout le reste. Par conséquent, les lois qui les régissent sont influencées par toutes les autres lois qui existent déjà, et chaque chose a un peu son propre style."
"Si les différentes équilibres naturels sont perturbés, même légèrement, cela rendrait difficile de prévoir le développement des sociétés, même si le désordre était limité et que la vie des individus était préservée.",C1,"Si les écosystèmes sont dérangés, même un peu, cela rend difficile de savoir comment les sociétés vont évoluer, même si le chaos est limité et que les gens sont en sécurité."
"Une exposition de soies, de satins et de velours, avec des couleurs douces et vives, était là, avec des tons sombres et clairs, comme des fleurs. Les velours étaient noirs et blancs, les satins roses et bleus, et les soies étaient toutes les couleurs de l'arc-en-ciel. Entre chaque motif, il y avait un foulard crème.",B1,"Il y avait une exposition de soies, de satins et de velours avec des couleurs douces et vives. Les velours étaient noirs et blancs, les satins roses et bleus, et les soies étaient toutes les couleurs de l'arc-en-ciel. Entre chaque motif, il y avait un foulard crème."
"Malgré tout, il est important de considérer une définition plus logique et mathématique de la chimie pour mieux comprendre son essence. Cette approche permettrait de mieux représenter la nature de cette science, même si elle ne correspond pas encore parfaitement à cette position générale.",C1,"Bien que cela puisse être difficile, il est essentiel de penser à une définition plus logique et mathématique de la chimie pour mieux comprendre ce qu'elle est vraiment. Cette approche permettrait de mieux représenter la nature de cette science, même si elle n'est pas encore parfaite."
"La grande complexité de la chimie est probablement due à sa nature plus complexe et à son développement récent. Il est presque impossible de croire qu'elle pourrait jamais atteindre un état aussi logique que les sciences qui étudient des phénomènes plus simples, comme l'astronomie, qui est le modèle idéal de la philosophie naturelle.",C2,"La chimie est très complexe parce qu'elle étudie des phénomènes très complexes et qu'elle est encore en développement. Il est difficile de croire qu'elle pourrait jamais être aussi logique que l'astronomie, qui est un exemple parfait de la philosophie naturelle."
"Si on ne pouvait plus les réassembler pour retrouver l'état original, il n'y aurait aucun doute sur la validité de la solution, sauf si on avait des raisons solides de douter de la vraie simplicté d'un des éléments analysés.",C1,"Si on ne pouvait plus les réassembler, on serait sûr que la solution est bonne, sauf si on avait des raisons de douter d'un des éléments analysés."
"Donc, selon cette obligation, le niveau de développement donné à l'examen philosophique de chaque science fondamentale dans cet ouvrage ne peut pas uniquement être déterminé par sa propre importance ou par le nombre de faits intéressants qu'elle englobe. Il dépend aussi beaucoup de sa perfection par rapport aux autres sciences.",C2,"Par conséquent, cette obligation signifie que la manière dont chaque science fondamentale est examinée dans ce livre ne peut pas seulement être décidée par sa importance ou par le nombre de faits intéressants qu'elle contient. Elle dépend aussi beaucoup de sa qualité par rapport aux autres sciences."
"Les idées que l'on pense être les réponses à un problème sont souvent des versions simplifiées des explications philosophiques, qui tentent de décrire un phénomène complexe à l'aide de mots généraux.",C2,Les idées que l'on a sur un problème sont souvent des versions simplifiées des idées philosophiques plus complexes.
"Pour comprendre l'histoire ancienne, il faut regarder autour de la Méditerranée. Cette région était importante à cette époque, mais elle n'a pas de sens si on regarde plus loin.",B1,"Pour savoir comment il était avant, on regarde près de la mer Méditerranée. Il y avait beaucoup d'importance là-bas, mais ça ne dit pas tout si on regarde plus loin."
"Malgré tout, il est clair que les réactions chimiques sont différentes des phénomènes physiques et qu'elles ont toujours quelque chose de spécial, comme le dit Bergmann avec force.",B2,"Bien que cela puisse sembler compliqué, on sait que les réactions chimiques sont différentes des choses qui se passent dans la nature et qu'elles ont toujours quelque chose de spécial, comme le dit Bergmann."
"La vraie science consiste à établir des relations précises entre les faits observés pour déduire les phénomènes secondaires à partir de peu de phénomènes fondamentaux, sans chercher les causes et les essences.",C2,"La vraie science est de trouver des liens entre les choses que l'on voit pour comprendre ce qui se passe et pourquoi, en utilisant peu de choses de base."
Elle avait accepté son mari sans vraiment aimer ça.,B1,"Elle a dit oui à son mari, mais elle n'aimait pas vraiment ça."
"Après avoir analysé en détail toutes les parties de ce discours, je peux maintenant voir clairement les idées fondamentales de la philosophie chimique. Enfin, je vais les résumer rapidement sous son aspect final, qui concerne le principe de division rationnelle important pour la science chimique.",C2,"Après avoir étudié en profondeur chaque partie du discours, je peux maintenant voir clairement les idées principales de la philosophie chimique. Ensuite, je vais les résumer brièvement sous sa forme finale, qui concerne l'importance du principe de division rationnelle pour la science chimique."
"Si un objet a été pris appart, il faut le considérer comme capable de se reformer, bien que cela puisse être difficile ou presque impossible à faire.",B1,"Si quelque chose est cassé, on peut le réparer, mais ça peut être difficile ou presque impossible."
"Au contraire, les régions tempérées lointaines ne sont pas très intéressantes pour les colonisateurs avant que l'Europe ne se multiplie beaucoup au 19ème siècle, moment où ces nouveaux pays deviennent comme des parties de l'Europe.",B2,"En fait, les régions froides loin d'ici ne sont pas très intéressantes pour les gens qui vont loin de chez eux avant que l'Europe ne soit très peuplée au 19ème siècle, et alors ces nouveaux endroits sont comme des parties de l'Europe."
"Selon Dzinkowski en 2000, beaucoup de chercheurs pensent que jusqu'à 90% de la valeur des entreprises vient de leur utilisation de leurs idées et inventions (Dzinkowski, 2000).",C1,"Selon Dzinkowski en 2000, beaucoup de chercheurs pensent que la valeur des entreprises vient principalement de leurs idées et inventions (Dzinkowski, 2000)."
"Penser à ce qui n'existe pas, à l'absolu, c'est ce que la philosophie doit faire avant tout.",B1,"Pensé à ce qui n'est pas réel, à ce qui est très grand, c'est ce que la philosophie doit faire."
"Certains philosophes modernes qui avaient une approche plus positive de la nature ont utilisé l'histoire naturelle pour critiquer l'idée que la plupart des éléments chimiques sont simples. Parmi eux, Cuvier est le plus célèbre. Cette objection est assez précise, mais pas suffisante.",C2,"Certains philosophes modernes qui aiment la nature ont utilisé l'histoire de la nature pour critiquer l'idée que les éléments chimiques sont simples. Cuvier est le plus connu. Cette objection est assez précise, mais pas suffisante."
"Dès que j'ai mangé, j'ai ressenti un calme.",B1,"Dès que j'ai mangé, j'ai ressenti un calme."
"En comparant ces phénomènes aux événements astronomiques, j'ai montré dans le livre précédent qu'ils sont moins généraux, car ils ne se produisent pas dans toutes les situations, car ils dépendent toujours de certaines conditions.",C2,"En comparant ces phénomènes aux événements astronomiques, j'ai montré dans le livre précédent qu'ils sont moins généraux, car ils ne se produisent pas dans toutes les situations, car ils dépendent toujours de certaines conditions."
"La géologie actuelle, malgré son manque d'informations, nous montre que nous devons faire face à une situation similaire dans le futur, et peut-être bientôt. Les philosophes de l'âge théologique devaient peut-être en avoir une idée grâce à un instinct vague, alors qu'ils cherchaient à relier l'astrologie et l'alchimie.",B2,"Les scientifiques d'aujourd'hui disent que notre planète pourrait avoir des problèmes de géologie dans l'avenir, et cela pourrait arriver bientôt. Les gens qui étudiaient la nature il y a longtemps, avant la science, pourraient avoir eu une idée de cela, mais ils ne savaient pas vraiment comment expliquer ça avec l'astrologie et l'alchimie."
"Après avoir réfléchi à la philosophie de la chimie, on peut voir comment elle se situe dans l'ensemble des sciences et comment elle est explorée. Cela nous aide à comprendre où elle se place dans la hiérarchie des sciences et comment elle est étudiée.",B2,"Après avoir pensé à ce que dit la chimie, on peut voir où elle se place par rapport aux autres sciences et comment elle est étudiée. Cela nous aide à comprendre où elle se situe dans les sciences et comment on la fait."
Je ne pouvais pas me détendre et apprendre en même temps.,B1,Je ne pouvais pas relaxer et apprendre en même temps.
Il est important de ne pas craindre de dire que certains travaux scientifiques ne sont pas aussi bien organisés et logiques qu'ils devraient l'être en raison de manquements courants à une condition essentielle.,B2,"Il est important de ne pas être timide pour dire que certains travaux scientifiques ne sont pas aussi bien organisés et logiques qu'ils devraient l'être, parce que des erreurs courantes se produisent."
"Il est évident que, en examinant cette idée de similitudes de près, on ne peut pas manquer de voir que cette théorie n'est en réalité qu'une tentative, qui échoue, de comprendre la nature des réactions chimiques, aussi profonde que les essences qu'on cherchait autrefois pour les phénomènes plus simples.",C2,"Il est clair que quand on regarde cette idée de ressemblances de près, on ne peut pas manquer de voir que cette théorie n'est en réalité qu'une tentative, qui échoue, de comprendre la nature des réactions chimiques, aussi profonde que les essences qu'on cherchait autrefois pour les phénomènes plus simples."
"Finalement, il y a aussi du scepticisme, on parle de stoïcisme et on dit que penser que quelque chose est vrai dépend de qui le pense.",B2,"Finalement, il y a aussi des gens qui doutent, ils parlent de stoïcisme et disent que penser qu'une chose est vraie dépend de qui la pense."
"Il y a plusieurs idées importantes à aborder dans mon discours sur la chimie, comme comment elle cherche à comprendre le monde, où elle se situe par rapport aux autres sciences, si elle est parfaite, comment elle pense et comment elle est organisée.",B2,"Il y a beaucoup de choses à parler dans mon discours sur la chimie, comme comment elle étudie le monde, où elle se situe par rapport aux autres sciences, si elle est parfaite, comment elle pense et comment elle est organisée."
"Note : (retour) Les Français, avec leur génie national, sont très résistants aux idées étrangères, même si elles ont des points forts et des défauts.",B2,"Les Français sont souvent attachés à leurs traditions et à leur culture, même si d'autres pays ont des idées intéressantes."
Une contrainte est quelque chose qui vient de l'extérieur et qui n'est pas choisie par une personne.,B1,Un problème est quelque chose qui vient de l'extérieur et que tu ne peux pas choisir.
Il serait inutile de répéter que la chimie scientifique ne peut être comprise sans avoir d'abord appris la physique en profondeur.,C1,Dire que la chimie scientifique est difficile à comprendre sans avoir bien étudié la physique avant.
"Dans les sciences où il y a beaucoup de sujets à étudier, la chimie est unique car elle a des phénomènes simple et réguliers, ce qui permet de classer tout ce qu'on apprend de manière claire, rapide et complète, ce qui aide beaucoup à avancer dans la science.",B2,La chimie est un sujet de science qui est facile à comprendre parce qu'elle a des règles simples et qu'elle aide beaucoup à apprendre rapidement et bien.
"Selon cette approche philosophique, la physique elle-même, en raison de sa moindre perfection nécessaire, ne peut jamais avoir pour les chimistes autant d'utilité que l'astronomie, malgré ses relations bien plus étroites et plus étendues.",C2,"Selon cette philosophie, la physique n'est pas aussi utile pour les chimistes que l'astronomie, même si elle est plus étroitement liée à elle."
