Sentence,Difficulty,Simplified,Similarity,Estimated_Difficulty
"Les compagnonnages noués entre voyageurs se révèlent parfois pesants et Kassák finit par se fâcher avec son premier acolyte, le sculpteur Gödrös, dont la mauvaise maîtrise de l'allemand l'agace.",B2,"Les amis qui voyagent ensemble peuvent avoir des problèmes et Kassák a des disputes avec son ami le sculpteur Gödrös, qui ne parle pas bien l'allemand.",0.93881977,B1
"Le moteur Wankel est un moteur à piston rotatif, dans lequel un piston triangulaire convertit l'énergie issue de la combustion du carburant en une énergie mécanique de rotation transmise à l'arbre moteur.",B2,Le moteur Wankel est un moteur spécial qui utilise un piston en triangle pour transformer l'énergie de la combustion du carburant en mouvement tournant qui pousse l'arbre moteur.,0.95892805,B2
"Car, la saine théorie physiologique des sensations, ainsi que j'aurai soin de le constater dans la seconde partie de ce volume, montre clairement que l es appareils du goût et de l'odorat, par opposition à ceux des autres organes sensitifs, agissent d'une manière éminemment chimique, et que, par conséquent, la nature de ces deux sens les adapte spécialement à la perception des phénomènes de composition et de décomposition.",C2,"Donc, une bonne théorie de la physiologie des sensations, que je vais expliquer dans la deuxième partie de ce livre, montre que les organes du goût et de l'odorat, par rapport aux autres sens, agissent beaucoup comme des chimistes. Par conséquent, la nature de ces deux sens les rend spécialement adaptés à la perception des phénomènes de composition et de décomposition.",0.97782195,C2
La seconde partie traite du rôle de l'encombrement stérique dans la régiosélectivité d'une oxydation métabolique.,B2,La deuxième partie parle de l'importance de l'espace pour que les cellules puissent faire une réaction chimique.,0.90149343,B1
"À cet égard, en effet, à l'aide d'un coefficient chimique, empiriquement évalué pour chaque corps simple, on parvient à déter miner rationnellement, en beaucoup de cas, avec une suffisante exactitude, d'après un petit nombre de lois générales, la proportion suivant laquelle s'unissent les principes, préalablement connus, de chaque nouveau produit.",C2,"Pour savoir combien d'un élément simple se trouve dans un nouveau composé chimique, on utilise un nombre qui dépend de chaque élément simple. En utilisant peu de règles, on peut souvent deviner avec une certaine précision la composition d'un nouveau produit à partir de ses éléments connus.",0.9335099,B2
"Il n'était pas comme tant de gens qui par paresse ou sentiment résigné de l'obligation que crée la grandeur sociale de rester attaché à un certain rivage, s'abstiennent des plaisirs que la réalité leur présente en dehors de la position mondaine où ils vivent cantonnés jusqu'à leur mort, se contentant de finir par appeler plaisirs, faute de mieux, une fois qu'ils sont parvenus à s'y habituer, les divertissements médiocres ou les supportables ennuis qu'elle renferme.",C2,"Certains préfèrent rester dans leur groupe d'amis par apathie ou parce qu'ils veulent garder leur place dans la société. Ils ne vivent pas les joies que la vie a à offrir et appellent ces distractions médiocres ou ces ennuis supportables ""joies"".",0.94313926,C1
"Sans plus d'hésitation, il tourna vers la gauche ; son pas sonnait sur la terre durcie, et ce bruit cadencé, monotone, assoupissait en le berçant, le tumulte de son esprit.",B2,"Il est allé à gauche sans hésiter. Il marchait sur le sol dur et ça sonnait régulièrement, ce qui le calma. Mais son esprit était rempli de bruit.",0.89944,B1
Cette manière de concevoir le problème chimique remplit donc toutes les conditions essentielles.,B2,Ça montre une manière de résoudre un problème chimique qui répond à toutes les conditions importantes.,0.9541343,B1
"Comme au judaïsme, il lui oppose l'idée d'une ""jouissance sanctifiée"".",B1,"Comme chez les Juifs, il y a une manière spéciale de profiter.",0.8295012,B1
"Dans la profondeur des hautes bâtisses moyenâgeuses de la rue des Nobles ou de la rue des Archers se creusent des espèces d'arrière-cours où les sombres maçonneries qui les encadrent entretiennent une constante humidité de sépulcre et ne laissent pénétrer qu'un filet de jour spectral, tombé du mince hublot de ciel que découpent les toits en surplomb.",B1,"Dans les vieux rues, les maisons ont des jardins à l'arrière. Les jardins sont petits et sombres. La lumière du ciel vient un peu par une petite fenêtre.",0.90487355,B1
"Pour moi, j'attacherai toujours une extrême importance à tout ce qui peut tendre à provoquer l'intime combinaison de cette qualité fondamentale avec cette aptitude, non moins essentielle, à la clarté et à la positivité, qui caractérise, tout aussi hautement, notre génie français; convaincu, comme je le suis profondément, que, de cette harmonie capitale, dont la possibilité m'est démontrée, peut seule résulter le libre et plein développement du génie philosophique moderne, des tiné à terminer, par son universelle prépondérance, l'immense crise sociale, commune, depuis trois siècles, à toutes les nations qui, dans leur ensemble, forment la tête de l'espèce humaine.",B2,"Pour moi, il est très important de montrer tout ce qui peut aider à combiner deux choses très importantes : une clarté et une positivité qui font partie de notre génie français. Je pense que c'est cette combinaison qui permet au génie philosophique moderne de grandir et de résoudre les problèmes de notre temps.",0.91672933,B1
Cette ribaude ricane et échafaude !,B1,Cette femme rie et dit des choses drôles !,0.9017851,A2
"J'ai fait ressortir, dans le volume précédent, le tort général fait jusqu'ici à la physique par l'abus de l'analyse mathématique.",B2,J'ai dit dans un autre livre que la physique a été mal expliquée en utilisant trop de mathématiques.,0.90791035,B1
"Quant aux lois chimiques surtout, il est évident que, dans l'ensemble des conditions d'existence de la société humaine, so nt comprises plusieurs harmonies chimiques essentielles, entre l'homme et les circonstances extérieures fondamentales dont il subit l'empire absolu.",B2,"Les lois chimiques sont essentielles pour comprendre comment les humains vivent avec leur environnement. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.""""""",0.85352856,C1
"Mais, à partir des événemens physiques, la suspension, l'altération du phénomène, sa suppression même en plus d'une circonstance, en un mot, les différentes sortes de modifications deviennent possibles, et de plus en plus étendues, en suivant notre hiérarchie fondamentale, jusqu'aux phénomènes physiologiques, et même jusqu'aux événemens sociaux, qui, de tous, sont, en effet, les plu s éminemment modifiables, comme l'expérience universelle le confirme.",B1,"Mais si on regarde ce qui se passe dans le monde, on peut voir que certaines choses peuvent changer, même si elles sont très importantes, comme les événements sociaux. Donne moi une phrase simplifiée au niveau B1 tout en conservant au maximum son sens original.",0.8843398,B1
"Face à ce problème social, il préconise de réduire le temps de travail, de repenser la distribution des richesses autrement que sur la base de la production et de développer davantage ce qu'il appelle le ""tiers secteur"", autrement dit l'économie sociale et la sphère associative qui oeuvrent au bien-être d'autrui.",B2,"Pour aider à résoudre ce problème social, il dit qu'il faut travailler moins, partager mieux les richesses et développer ce qu'il appelle le ""tiers secteur"", c'est-à-dire l'économie sociale et les associations qui aident les autres.",0.9555876,B2
Cet examen aura naturellement sa place spéciale dans la seconde partie de ce volume.,B1,Cette question est très importante dans la deuxième partie du livre.,0.9333844,B1
"Ainsi conçue, cette question est une des plus capitales que puisse présenter la philosophie chimique: bornée, au contraire, à l'examen direct des corps simples, elle offrirait aussi peu d'intérêt que de rationnalité; car, en soimême, il importe assez peu, sans doute, suivant quel ordre conventionnel on procéderait à l'étude successive de ces cinquantesix corps, dont les histoires propres sont nécessairement indépendantes.",C2,"Ainsi construite, cette question est très importante pour la philosophie chimique. Elle se concentre sur les corps simples, mais elle n'a pas beaucoup de sens si on ne les regarde pas directement. Elle ne serait pas très utile si on étudie ces 56 corps un par un, car leurs histoires sont indépendantes.",0.9434794,C1
L'esprit et la marche de nos enseignemens scientifiques actuels ne peuvent donner aucune idée juste de ce système philosophique d'éducation rationnelle pour les savans.,B2,Les idées modernes en science ne nous disent pas beaucoup sur comment enseigner aux scientifiques intelligents.,0.8970156,B2
"On peut, à ce sujet, poser en prin cipe que la hiérarchie des substances élémentaires ne doit pas être uniquement déterminée par la seule considération de leurs propres caractères essentiels, mais aussi par celle, non moins indispensable, quoique indirecte, des principaux phénomènes relati fs aux composés qu'elles forment.",C2,"On ne peut pas classer les éléments chimiques en fonction de leurs propriétés seules, mais aussi de ce qu'ils font quand ils se combinent avec d'autres éléments pour former des composés.",0.89396906,B2
"Je montrerai qu'il existe des problèmes de souveraineté, de fuites de données, d'inférences de comportements, de traçage, ou encore de conception des applications.",B2,"Je vais montrer que il y a des problèmes avec la sécurité des données, les choix que l'on peut faire en fonction de nos actions, et même la façon dont on peut créer des applications.",0.89905083,B1
L'heureuse proposition de cette importante réforme se trouve ainsi être d'autant plus décisive qu'elle vient de celui de tous les chimistes actuels qui a le plus et le mieux cultivé ce qu'on nomme la chimie organique.,B1,La personne qui sait bien la chimie organique a une idée très bonne pour changer beaucoup de choses.,0.89871186,B1
"Il s'agit, non de la théorie des classifications, assez mal entendue par les chimistes, mais de l'art général des nom enclatures rationnelles, qui en est toutàfait indépendant, et dont la chimie, par la nature même de son objet, doit présenter de plus parfaits modèles qu'aucune autre science fondamentale.",C2,"Les chimistes ne s'intéressent pas à la classification des éléments chimiques, mais à la façon de les nommer de manière logique, ce qui est différent de la classification. La chimie doit montrer comment cela se fait avec des exemples parfaits, car elle étudie des éléments très spécifiques.",0.9207156,B2
"On ne pouvait citer aucune action condamnable ; on ne pouvait même m'en contester quelques-unes qui semblaient annoncer de la générosité ou du dévouement ; mais on disait que j'étais un homme immoral, un homme peu sûr : deux épithètes heureusement inventées pour insinuer les faits qu'on ignore, et laisser deviner ce qu'on ne sait pas.",B1,"On n'a pas trouvé de mauvaises actions, mais on disait que je n'étais pas un bon garçon. Les mots négatifs étaient utilisés pour dire des choses que l'on ne savait pas, et pour faire croire que l'on ne savait pas tout.",0.9326445,B1
Nous dûmes nous excuser des propos que nous eûmes prononcés,A2,Nous devons dire des mots plus gentils.,0.82687414,A2
"Comme les divers élémens dont ils sont formés seraient nécessairem ent toujours plus ou moins susceptibles de produire entre eux d'autres combinaisons de différens ordres, on ne peut jamais avoir absolument, dans un tel genre d'analyse, la certitude directe qu'un ou plusieurs des prétendus principes immédiats qu'elle a fo urnis ne doivent pas leur origine aux réactions provoquées par l'opération analytique ellemême.",B1,"Parce que les morceaux qui les font sont toujours en mouvement, on ne peut jamais dire si les règles que l'on trouve ne viennent pas de la façon dont on les a regardées.",0.9099045,B1
"Mais cet heureux artifice est tellement en harmonie avec la nature de la science chimique, que, dans son extrême imperfection actuelle, il la soutient en quelque sorte, en suppléant provisoirement, pour ainsi dire, à son défaut presque absolu de rationnalité véritable.",C2,Mais cette invention magnifique convient si bien à la chimie qu'elle semble soutenir la science malgré ses problèmes actuels.,0.9106644,C1
"Mais, en outre, les phénomènes sociaux étant les plus compliqués et les plus particuliers de tous, leurs lois sont inévitablement subordonné es, par cela même, à celles de tous les ordres précédens, dont chacun y manifeste, plus ou moins explicitement, son influence propre.",C1,"En fait, les choses qui se passent entre les gens sont très compliquées et différentes de tout le reste. Par conséquent, les lois qui les régissent sont influencées par toutes les autres lois qui existent déjà, et chaque chose a un peu son propre style.",0.8971436,B1
"La rupture de ces diverses harmonies, ou seulement leur perturbation un peu profonde, soit quant à la compo sition du milieu atmosphérique, ou des eaux, ou des terrains, etc., ne permettrait plus de concevoir rationnellement le développement social, même en supposant un désordre assez restreint pour que l'existence individuelle fût maintenue.",C1,"Si les écosystèmes sont dérangés, même un peu, cela rend difficile de savoir comment les sociétés vont évoluer, même si le chaos est limité et que les gens sont en sécurité.",0.88317716,B2
"Une exposition de soies, de satins et de velours, y épanouissait, dans une gamme souple et vibrante, les tons les plus délicats des fleurs : au sommet, les velours, d'un noir profond, d'un blanc de lait caillé ; plus bas, les satins, les roses, les bleus, aux cassures vives, se décolorant en pâleurs d'une tendresse infinie ; plus bas encore, les soies, toute l'écharpe de l'arc-en-ciel, des pièces retroussées en coques, plissées comme autour d'une taille qui se cambre, devenues vivantes sous les doigts savants des commis ; et, entre chaque motif, entre chaque phrase colorée de l'étalage, courait un accompagnement discret, un léger cordon bouillonné de foulard crème.",B1,"Il y avait une exposition de soies, de satins et de velours avec des couleurs douces et vives. Les velours étaient noirs et blancs, les satins roses et bleus, et les soies étaient toutes les couleurs de l'arc-en-ciel. Entre chaque motif, il y avait un foulard crème.",0.92995155,B1
"Néanmoins, afin de mieux signaler le véritable esprit de la chimie, il importe, sans doute, de considérer directement la définition la plus rationnelle, et, pour ainsi dire, la plus mathématique, dont une telle science soit suscepti ble, quoique, dans son état présent, elle ne puisse correspondre que très incomplétement à une semblable position générale de la question.",C1,"Bien que cela puisse être difficile, il est essentiel de penser à une définition plus logique et mathématique de la chimie pour mieux comprendre ce qu'elle est vraiment. Cette approche permettrait de mieux représenter la nature de cette science, même si elle n'est pas encore parfaite.",0.871947,B2
"Cette extrême imperfection de notre chimie tient sans doute essentiellement à la nature plus compliquée d'une telle science et à son plus récent développement; il se rait même entièrement chimérique d'espérer qu'elle puisse jamais atteindre à un état de rationalité aussi satisfaisant que celui des sciences relatives à des phénomènes plus simples, et spécialement de l'astronomie, vrai type éternel de la philosophie natu relle.",C2,"La chimie est très complexe parce qu'elle étudie des phénomènes très complexes et qu'elle est encore en développement. Il est difficile de croire qu'elle pourrait jamais être aussi logique que l'astronomie, qui est un exemple parfait de la philosophie naturelle.",0.9156804,B2
"L'impossibilité où l'on serait de les combiner de nouveau pour reproduire le corps primitif, ne saurait, évidemment, en un tel cas, jeter aucun doute légi time sur la réalité de la solution; à moins toutefois, ce qui doit être infiniment rare, qu'on n'eût des motifs valides de contester la simplicité effective de quelqu'un des élémens considérés.",C1,"Si on ne pouvait plus les réassembler, on serait sûr que la solution est bonne, sauf si on avait des raisons de douter d'un des éléments analysés.",0.92409,B2
"Or, d'après cette obligation, le degré de développement accordé, dans cet ouvrage, à l'examen philosophique de chaque science fondamentale, ne saurait ê tre exclusivement déterminé par son importance propre, ni par la multitude de faits intéressans qu'elle embrasse; il dépend nécessairement aussi, en grande partie, de sa perfection relative.",C2,"Par conséquent, cette obligation signifie que la manière dont chaque science fondamentale est examinée dans ce livre ne peut pas seulement être décidée par sa importance ou par le nombre de faits intéressants qu'elle contient. Elle dépend aussi beaucoup de sa qualité par rapport aux autres sciences.",0.94885224,C2
"Les prétendues solutions qu'on a coutume d'en déduire présentent évidemment le caractère essentiel des explications métaphysiques, la simple et naïve reproduction, en termes abstraits, de l'én oncé même du phénomène.",C2,Les idées que l'on a sur un problème sont souvent des versions simplifiées des idées philosophiques plus complexes.,0.91347677,C2
"La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n'est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n'est pas vécue comme une limite.",B1,"Pour savoir comment il était avant, on regarde près de la mer Méditerranée. Il y avait beaucoup d'importance là-bas, mais ça ne dit pas tout si on regarde plus loin.",0.85551834,B1
"Néanmoins, il doit être incontestable que les phénomènes chimiques, surtout par contraste aux simples phénomènes physiques, présentent, en chaque cas, quelque chose de spécifique, ou, suivant l'énergique expression de Bergma nn, d'électif.",B2,"Bien que cela puisse sembler compliqué, on sait que les réactions chimiques sont différentes des choses qui se passent dans la nature et qu'elles ont toujours quelque chose de spécial, comme le dit Bergmann.",0.90752286,B1
"La vraie science consiste, en tout genre, dans les relations exactes établies entre les faits observés, afin de déd uire, du moindre nombre possible de phénomènes fondamentaux, la suite la plus étendue de phénomènes secondaires, en renonçant absolument à la vaine enquête des causes et des essences.",C2,"La vraie science est de trouver des liens entre les choses que l'on voit pour comprendre ce qui se passe et pourquoi, en utilisant peu de choses de base.",0.90347177,B1
