Original,Difficulty,Simplified_0,Similarity_0,Difficulty_0,Simplified_1,Similarity_1,Difficulty_1,Simplified_2,Similarity_2,Difficulty_2,Simplified_3,Similarity_3,Difficulty_3,Simplified_4,Similarity_4,Difficulty_4,Simplified_5,Similarity_5,Difficulty_5,Simplified_6,Similarity_6,Difficulty_6,Simplified_7,Similarity_7,Difficulty_7
"Quiconque aurait la dans mon coeur en son absence m'aurait pris pour un séducteur froid et peu sensible ; quiconque m'eût aperçu à ses côtés eût cru reconnaître en moi un amant novice, interdit et passionné.",C2,"Si quelqu'un avait mon cœur quand je ne l'avais pas, il aurait pensé que je suis un séducteur froid et peu sensible. Si quelqu'un avait vu mon amour pour elle, il aurait pensé que je suis un amant novice, interdit et passionné.",0.931035,B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme froid. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant naïf et passionné.",0.90289414,B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf.",0.8950453,B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf.",0.8950452,B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf.",0.8950452,B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf.",0.8950452,B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf.",0.8950452,B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf.",0.8950452,B1
Un revenu devient donc une nécessité pour que l'Homme puisse accéder à la satisfaction d'avoir comblé ses désirs,C2,"Pour avoir ce qu'il veut, l'Homme a besoin d'argent.",0.7724876,B1,"Pour avoir ce qu'il veut, il faut de l'argent.",0.790385,A2,"Pour avoir ce qu'on veut, il faut de l'argent.",0.75258404,A2,"Pour avoir ce qu'on veut, il faut de l'argent.",0.75258404,A2,"Pour avoir ce qu'on veut, il faut de l'argent.",0.752584,A2,"Pour avoir ce qu'on veut, il faut de l'argent.",0.752584,A2,"Pour avoir ce qu'on veut, il faut de l'argent.",0.752584,A2,"Pour avoir ce qu'on veut, il faut de l'argent.",0.752584,A2
"Le ""rebâchage"" envoie les données dans la première mémoire, tandis que plusieurs approches différentes d'un même sujet vont permettre de dégager du sens et d'envoyer les don- nées communes au coeur de la mémoire sémantique"", explique-t-il",C2,"Quand on réutilise des informations, elles vont dans la première mémoire, et différentes idées sur un sujet peuvent donner un sens plus clair, puis les données communes vont dans la mémoire qui donne du sens, dit-il.",0.9507376,B2,"Quand on utilise des informations de nouveau, elles vont dans la première partie de notre tête, et si on a plusieurs idées sur un sujet, ça peut être plus facile à comprendre, dit-il.",0.9252294,B1,"Quand on apprend de nouvelles choses, elles vont dans la tête à la première partie, et si on a plusieurs idées sur un sujet, ça peut être plus facile à comprendre, dit-il.",0.9132655,B1,"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre.",0.86427283,B1,"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre.",0.86427283,B1,"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre.",0.86427283,B1,"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre.",0.86427283,B1,"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre.",0.86427283,B1
Cette activité apparait dans la religion grecque de l'Antiquité comme un cadeau qui est toutefois imposé aux Hommes pour qu'ils puissent survivre,C2,"Dans la religion grecque ancienne, une activité est vue comme un don mais aussi comme un devoir pour les hommes pour vivre.",0.9462915,B2,"Dans l'ancienne religion grecque, on pense que faire des choses est un cadeau de Dieu, mais aussi un travail important pour les hommes.",0.9510125,B1,"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais qu'elles sont aussi importantes pour les gens.",0.88900244,B1,"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens.",0.89882845,B1,"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens.",0.89882827,B1,"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens.",0.89882827,B1,"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens.",0.89882827,B1,"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens.",0.89882827,B1
"Tout ce qu'on pourrait, à cet égard, concevoir de vraiment rationnel, abstraction faite des inductions analogiques plus ou moins plausibles auxquelles peuvent con duire certains rapprochemens déjà constatés, consisterait à découvrir des relations générales entre les propriétés chimiques de chaque élément et l'ensemble de ses propriétés physiques.",C2,"Tout ce qui pourrait être considéré comme vraiment rationnel en ce qui concerne les éléments chimiques, en excluant les analogies possibles, serait de trouver des relations générales entre leurs propriétés chimiques et leurs propriétés physiques.",0.9576309,C2,"Si on regarde les éléments chimiques de manière logique, en ne prenant pas en compte les comparaisons, on pourrait trouver des relations entre leurs propriétés chimiques et leurs propriétés physiques.",0.93115276,C1,"Si on classe les éléments chimiques de manière logique, sans comparer, on peut voir des liens entre leurs propriétés chimiques et leurs propriétés physiques.",0.9237669,C2,"Si on classe les éléments chimiques de manière logique, on peut voir comment leurs propriétés chimiques et physiques sont liées.",0.90771383,C1,"Si on organise les éléments chimiques de manière logique, on peut voir que leurs propriétés sont liées.",0.8922184,C1,"Si on classe les éléments chimiques de façon ordonnée, on peut voir que leurs caractéristiques sont reliées.",0.90104276,C2,"Si on range les éléments chimiques de manière organisée, on peut voir que leurs propriétés sont liées.",0.89678764,B2,"Si on classe les éléments chimiques, on voit qu'ils ont des propriétés similaires.",0.88981867,B2
"Mais, il ne résul te point inévitablement de cette considération la conséquence irréfléchie qu'on a tenté d'en déduire.",C2,"Mais, ce n'est pas forcément la conclusion que l'on a tirée de cette idée qui est juste.",0.8892925,B1,"Mais, ce n'est pas toujours la réponse que l'on a trouvée qui est vraie.",0.807433,B1,"Mais, parfois, ce que l'on pense être vrai n'est pas toujours le bon.",0.7690717,B1,"Mais parfois, ce que l'on pense vrai n'est pas toujours bon.",0.7633417,B1,"Parfois, ce que l'on pense vrai n'est pas toujours bien.",0.7511828,B1,"Parfois, ce que l'on pense vrai n'est pas toujours juste.",0.69190955,B1,"Parfois, ce que l'on pense vrai n'est pas toujours vrai.",0.7005017,B1,"Parfois, on pense que quelque chose est vrai, mais ça peut ne pas être vrai.",0.781395,B1
"""Comment voulez-vous demander une analyse grammaticale ou parler du pronom relatif à un enfant qui n'emploie que des propositions juxtaposées ?""",C2,Comment vais-je demander une analyse de la phrase avec des mots qui se suivent sans lien et parler du pronom qui se réfère à quelqu'un d'autre ?,0.97341037,B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?,0.89921236,B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?,0.8992124,B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?,0.8992124,B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?,0.8992123,B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?,0.8992123,B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?,0.8992123,B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?,0.8992123,B1
"Mais il me semble néanmoins incontestable que son infériorité actuelle doit, en outre, être subsidiairement attribuée au vicieux esprit philosophique suivant lequel les recherches habituelles y sont jusqu'ici conçues et dirigées, et à l'éducation si défectueuse de la plupart des savans qui s'y livrent.",C2,"Mais je pense que sa situation actuelle est due à plusieurs choses, comme un mauvais esprit philosophique et une éducation médiocre pour les chercheurs.",0.8774622,B2,"Mais je pense qu'il y a plusieurs raisons pour lesquelles il est comme ça, comme un mauvais esprit et un enseignement pas très bien fait pour les scientifiques.",0.8615062,B1,"Mais je pense qu'il y a plusieurs raisons pour lesquelles ça va mal, comme si quelqu'un voulait que ça ne marche pas et que les scientifiques n'ont pas bien appris.",0.86634827,B1,Mais je pense que ça ne va pas bien parce qu'ils veulent qu'il ne marche pas et que les scientifiques ne savent pas beaucoup.,0.8417582,B1,Mais je pense qu'il y a un problème parce qu'ils veulent qu'il ne fonctionne pas et que les scientifiques ne savent pas beaucoup.,0.85622,B1,Mais je pense qu'il y a un problème parce qu'ils ne veulent pas qu'il marche et que les scientifiques ne savent pas beaucoup.,0.85172653,B1,Mais je pense qu'il y a un problème parce qu'ils ne veulent pas qu'il marche. Les scientifiques ne savent pas beaucoup.,0.8411641,B1,Mais je pense qu'il y a un problème parce qu'ils ne veulent pas qu'il marche. Les scientifiques ne savent pas beaucoup.,0.8411641,B1
"Notre esprit commence réellement à rencontrer ici, par la complication des phénomènes, mais à un degré infiniment moindre, l'obstacle essentiel que la nature des recherches physiologiques oppose si complétement à la méthode p urement expérimentale, dont l'usage est presque toujours illusoire.",C2,"Quand on étudie les phénomènes complexes de la vie, on rencontre des obstacles importants pour faire des expériences scientifiques.",0.8847319,B2,"Quand on regarde comment les êtres vivants fonctionnent, on rencontre des problèmes pour faire des expériences scientifiques.",0.8640622,B2,"Quand on regarde comment les animaux vivent, on a du mal à faire des expériences scientifiques.",0.84653056,B1,"Quand on regarde les animaux, c'est difficile de faire des expériences scientifiques.",0.8257926,B1,Regarder les animaux est difficile pour faire des expériences scientifiques.,0.8478694,B2,Observer les animaux est difficile pour faire des recherches scientifiques.,0.82620156,B2,Regarder les animaux est difficile pour faire des études scientifiques.,0.8427252,B2,Observer les animaux est difficile pour faire des recherches scientifiques.,0.82620156,B2
"Car, d'après une hiérarchie fondamentale des élémens, la nomenclature systématique des diverses substances composées suffira presque pour donner, en quelque sorte spontanément, une première i ndication réelle de l'issue générale propre à chaque événement chimique, ou, du moins, pour restreindre l'incertitude à cet égard entre d'étroites limites.",C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau C1 tout en conservant au maximum son sens original.",0.92815953,C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",0.92818606,C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",0.92818606,C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",0.92818606,C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",0.92818606,C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",0.92818606,C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",0.92818606,C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",0.92818606,C2
